rid,road_level,ori,des,lnglat_seq,parents,children
0VB2Q07KGD00VB3107KG110,45000,0VB2Q07KGD0,,"102.71626,25.038012;102.71636,25.037929;102.716631,25.037929;102.71686,25.037043;102.716887,25.03692;102.7169,25.036858",[],"['0VB2N07KH200VB2Q07KGD00', '0VB2T07KFO00VB2Q07KGD00', '0VB3N07KGD00VB2Q07KGD00', '0VB3K07KGD00VB2Q07KGD00', '0VB2D07KGC00VB2Q07KGD00']"
0VBA007KGG00VB9907KI600,45000,0VBA007KGG0,,"102.739213,25.038406;102.739124,25.038579;102.738093,25.040967;102.736856,25.043838",[],"['0VBAR07KFV00VBA007KGG00', '0VBA707KGG00VBA007KGG00', '0VBAQ07KFU00VBA007KGG00', '0VB9907KI600VBA007KGG00']"
0VBAB07KJ600VB9F07KJ600,45000,0VBAB07KJ60,,"102.740449,25.047015;102.739999,25.046999;102.739748,25.047;102.739628,25.047001;102.739453,25.047002;102.739183,25.046996;102.738853,25.046997;102.738462,25.046998;102.73751,25.047003",[],"['0VBA807KJS00VBAB07KJ600', '0VB9F07KJ600VBAB07KJ600', '0VBAD07KIN00VBAB07KJ600', '0VBB107KJ600VBAB07KJ600']"
0VB9T07KFJ00VB9N07KGG00,45000,,0VB9N07KGG0,"102.738863,25.035521;102.738854,25.035759;102.738853,25.035829;102.738846,25.036008;102.738843,25.03629;102.738839,25.036497;102.738826,25.036645;102.738821,25.036673;102.738809,25.0367;102.738792,25.036724;102.738766,25.036749;102.738469,25.036944;102.738452,25.037143;102.73844,25.037287;102.738352,25.038361","['0VB9N07KGG00VBA107KGF00', '0VB9N07KGG00VB9T07KFJ00']",[]
0VBBH07KGC00VBAQ07KFU00,45000,,0VBAQ07KFU0,"102.74407,25.03798;102.744067,25.038012;102.744061,25.038041;102.744043,25.038082;102.743808,25.038273;102.743523,25.038482;102.743386,25.038365;102.743283,25.038255;102.74315,25.038097;102.74294,25.037889;102.742642,25.037592;102.742569,25.037509;102.742492,25.037418;102.742377,25.037287;102.74217,25.03705;102.742118,25.036982;102.741844,25.036618","['0VBAQ07KFU00VBBH07KGC00', '0VBAQ07KFU00VBA007KGG00', '0VBAQ07KFU00VBAN07KFS00', '0VBAQ07KFU00VBBD07KFJ00']",[]
0VB1A07KHK00VB1P07KHL00,44000,0VB1A07KHK0,,"102.711361,25.041994;102.711475,25.042006;102.712067,25.042034;102.712187,25.042042;102.712385,25.042056;102.712728,25.042078;102.712903,25.042089",[],"['0VB0Q07KHI00VB1A07KHK00', '0VB1B07KHH00VB1A07KHK00', '0VB1A07KH800VB1A07KHK00']"
0VB3P07KJU00VB3P07KJ800,44000,0VB3P07KJU0,,"102.719384,25.049459;102.719388,25.048858;102.719385,25.048573;102.71938,25.048011;102.719379,25.047656;102.719375,25.047193",[],"['0VB2A07KK200VB3P07KJU00', '0VB4507KJU00VB3P07KJU00', '0VB4507KJU00VB3P07KJU01', '0VB2A07KK300VB3P07KJU00', '0VB3R07KIT00VB3P07KJU00', '0VB3L07KJU00VB3P07KJU00', '0VB3P07KKH00VB3P07KJU00']"
0VBAR07KFV00VBA007KGG00,44000,,0VBA007KGG0,"102.741877,25.036674;102.741752,25.036825;102.741613,25.036937;102.741482,25.037026;102.741315,25.037132;102.741131,25.037249;102.740945,25.037341;102.740781,25.037414;102.740317,25.03764;102.740241,25.037699;102.7402,25.037739;102.740137,25.037805;102.74003,25.037916;102.73986,25.038074;102.739723,25.038175;102.739643,25.038221;102.739566,25.038265;102.739213,25.038406","['0VBA007KGG00VB9907KI600', '0VBA007KGG00VB9N07KGH00', '0VBA007KGG00VBA707KGG00']",[]
0VB4507KJU00VB3P07KJU01,47000,,0VB3P07KJU0,"102.720453,25.049465;102.720202,25.04947;102.719863,25.049478;102.719701,25.049492;102.719613,25.049508;102.719507,25.049484","['0VB3P07KJU00VB2A07KK300', '0VB3P07KJU00VB3P07KJ800', '0VB3P07KJU00VB3P07KKM00', '0VB3P07KJU00VB2A07KK200', '0VB3P07KJU00VB4K07KJT00']",[]
0VB4507KD800VB4407KDN00,44000,0VB4507KD80,,"102.720522,25.028064;102.720515,25.028129;102.720479,25.028487;102.720425,25.028987;102.720376,25.029467",[],"['0VB4607KD800VB4507KD800', '0VB3V07KF000VB4507KD800', '0VB4507KD600VB4507KD800']"
0VB3707KEU00VB3V07KF000,44000,,0VB3V07KF00,"102.7175,25.033396;102.719245,25.033467;102.719873,25.033493","['0VB3V07KF000VB4607KF000', '0VB3V07KF000VB3V07KFJ00', '0VB3V07KF000VB4S07KEV00', '0VB3V07KF000VB3107KEU00', '0VB3V07KF000VB4507KD800']",[]
0VB3V07KF000VB4607KF000,44000,0VB3V07KF00,,"102.719967,25.033498;102.720367,25.033503;102.720671,25.033508",[],"['0VB3T07KGD00VB3V07KF000', '0VB3707KEU00VB3V07KF000', '0VB4407KDN00VB3V07KF000', '0VB4607KF000VB3V07KF000', '0VB4S07KF000VB3V07KF000']"
0VB2K07KHN00VB2L07KHE00,44000,0VB2K07KHN0,,"102.71562,25.042256;102.715626,25.042208;102.715661,25.041923;102.715718,25.04147;102.715727,25.041393",[],"['0VB2U07KHO00VB2K07KHN00', '0VB3407KHP00VB2K07KHN00', '0VB1P07KHL00VB2K07KHN00', '0VB2N07KH200VB2K07KHN00', '0VB2G07KIL00VB2K07KHN00']"
0VB6E07KI100VB5N07KHV00,44000,,0VB5N07KHV0,"102.727746,25.043399;102.7276,25.043381;102.727177,25.043331;102.726787,25.043284;102.726518,25.043255;102.726149,25.043216;102.726082,25.043209;102.725563,25.043149","['0VB5N07KHV00VB6107KI000', '0VB5N07KHV00VB5N07KH000', '0VB5N07KHV00VB4N07KHR00', '0VB5N07KHV00VB5O07KJ400', '0VB5N07KHV00VB6D07KI100']",[]
0VBAD07KIJ00VBAB07KI700,45000,,0VBAB07KI70,"102.740498,25.04512;102.740501,25.045015;102.740511,25.044656;102.740497,25.044317;102.740489,25.043924","['0VBAB07KI700VBB207KHU00', '0VBAB07KI700VBAB07KI400', '0VBAB07KI700VBAD07KIJ00', '0VBAB07KI700VB9U07KI700', '0VBAB07KI700VBAD07KIN00']",[]
0VB6B07KK400VB7407KJC00,44000,0VB6B07KK40,0VB7407KJC0,"102.727457,25.049935;102.727954,25.049495;102.728597,25.048926;102.72873,25.048807;102.728813,25.048726;102.728856,25.048684;102.729063,25.048489;102.729166,25.048401;102.729597,25.04803;102.730032,25.047625","['0VB7407KJC00VB7H07KIT00', '0VB7407KJC00VB7H07KJL00', '0VB7407KJC00VB6B07KK400', '0VB7407KJC00VB5O07KJ400']","['0VB5L07KKN00VB6B07KK400', '0VB7E07KL300VB6B07KK400', '0VB5O07KJ400VB6B07KK400', '0VB7407KJC00VB6B07KK400']"
0VB7807KI400VB7J07KI500,44000,0VB7807KI40,,"102.730442,25.043598;102.730988,25.043667;102.731481,25.04373",[],"['0VB6I07KI100VB7807KI400', '0VB6H07KI110VB7807KI400', '0VB7907KI100VB7807KI400', '0VB6H07KI100VB7807KI400']"
0VBAQ07KFU00VBBH07KGC00,45000,0VBAQ07KFU0,,"102.741844,25.036618;102.742118,25.036982;102.74217,25.03705;102.742377,25.037287;102.742492,25.037418;102.742569,25.037509;102.742642,25.037592;102.74294,25.037889;102.74315,25.038097;102.743283,25.038255;102.743386,25.038365;102.743523,25.038482;102.743808,25.038273;102.744043,25.038082;102.744061,25.038041;102.744067,25.038012;102.74407,25.03798",[],"['0VBBB07KFL00VBAQ07KFU00', '0VBA107KGF00VBAQ07KFU00', '0VBBH07KGC00VBAQ07KFU00', '0VBAN07KFS00VBAQ07KFU00', '0VBAM07KFT00VBAQ07KFU00']"
0VB2Q07KGD00VB3N07KGD00,44000,0VB2Q07KGD0,,"102.71626,25.038012;102.716821,25.038012;102.71697,25.038015;102.717136,25.038018;102.718831,25.038045",[],"['0VB2N07KH200VB2Q07KGD00', '0VB2T07KFO00VB2Q07KGD00', '0VB3N07KGD00VB2Q07KGD00', '0VB3K07KGD00VB2Q07KGD00', '0VB2D07KGC00VB2Q07KGD00']"
0VB6I07KI100VB7807KI400,44000,,0VB7807KI40,"102.728162,25.043352;102.728941,25.043433;102.72996,25.043544;102.730412,25.043594","['0VB7807KI400VB7J07KI500', '0VB7807KI400VB7807KI100']",[]
0VB8207KGF00VB8H07KGF00,44000,,0VB8H07KGF0,"102.733006,25.03827;102.733025,25.03827;102.733675,25.038282;102.734388,25.038296","['0VB8H07KGF00VB7U07KI700', '0VB8H07KGF00VB8S07KGF00', '0VB8H07KGF00VB8F07KFI10', '0VB8H07KGF00VB7H07KGG00']",[]
0VB5O07KJ400VB5707KJ400,45000,0VB5O07KJ40,,"102.725537,25.046855;102.725273,25.046853;102.724493,25.046842;102.724105,25.046847;102.724018,25.046847;102.723916,25.046818",[],"['0VB5O07KJF00VB5O07KJ400', '0VB5707KJ400VB5O07KJ400', '0VB5N07KHV00VB5O07KJ400', '0VB7407KJC00VB5O07KJ400']"
0VB2D07KKN00VB2A07KK200,44000,,0VB2A07KK20,"102.714842,25.051853;102.714766,25.05098;102.714669,25.049955;102.714651,25.049827","['0VB2A07KK200VB3P07KJU00', '0VB2A07KK200VB0P07KK700', '0VB2A07KK200VB2D07KJE00', '0VB2A07KK200VB2J07KK300', '0VB2A07KK200VB2C07KKD00']",[]
0VB3P07KJU00VB3P07KKM00,44000,0VB3P07KJU0,0VB3P07KKM0,"102.719507,25.049484;102.719505,25.049941;102.719502,25.05003;102.719492,25.050325;102.719487,25.050765;102.719481,25.051275;102.719479,25.051508;102.719478,25.051758","['0VB3P07KKM00VB3P07KKH00', '0VB3P07KKM00VB3R07KLC00', '0VB3P07KKM00VB3T07KKM00']","['0VB2A07KK200VB3P07KJU00', '0VB4507KJU00VB3P07KJU00', '0VB4507KJU00VB3P07KJU01', '0VB2A07KK300VB3P07KJU00', '0VB3R07KIT00VB3P07KJU00', '0VB3L07KJU00VB3P07KJU00', '0VB3P07KKH00VB3P07KJU00']"
0VB5L07KKN00VB6B07KK400,44000,,0VB6B07KK40,"102.725312,25.051876;102.725506,25.051703;102.726259,25.051006;102.726365,25.050909;102.726536,25.050754;102.726833,25.050489;102.727214,25.05015;102.727394,25.049992","['0VB6B07KK400VB5O07KJF00', '0VB6B07KK400VB7407KJC00', '0VB6B07KK400VB5L07KKN00', '0VB6B07KK400VB7E07KL300', '0VB6B07KK400VB6207KKC00']",[]
0VB4407KDN00VB3V07KF000,44000,,0VB3V07KF00,"102.720376,25.029467;102.720279,25.030419;102.720223,25.030965;102.720215,25.031036;102.720172,25.031443;102.7201,25.032244;102.720073,25.032512;102.720023,25.033003;102.720013,25.033088;102.719985,25.03333;102.719967,25.033498","['0VB3V07KF000VB4607KF000', '0VB3V07KF000VB3V07KFJ00', '0VB3V07KF000VB4S07KEV00', '0VB3V07KF000VB3107KEU00', '0VB3V07KF000VB4507KD800']",[]
0VB3307KF700VB2T07KFO00,45000,,0VB2T07KFO0,"102.717103,25.034284;102.717189,25.034563;102.717208,25.034645;102.717215,25.034682;102.717311,25.035089;102.717323,25.035215;102.717317,25.035314;102.717243,25.035757;102.717219,25.035818;102.717162,25.035902;102.717159,25.035907;102.717154,25.035914;102.717115,25.035967;102.717106,25.03598;102.717101,25.035988;102.716778,25.035985;102.716747,25.035985;102.716716,25.035986;102.716676,25.035991;102.71653,25.036011","['0VB2T07KFO00VB2Q07KGD00', '0VB2T07KFO00VB3407KFL00', '0VB2T07KFO00VB3107KEU00', '0VB2T07KFO00VB2G07KFO00']",[]
0VBAB07KI700VBB207KHU00,44000,0VBAB07KI70,,"102.740488,25.043838;102.740804,25.043832;102.740937,25.043829;102.741143,25.043825;102.74137,25.043817;102.741534,25.043797;102.741679,25.043771;102.741689,25.043768;102.74187,25.043721;102.741914,25.04371;102.742031,25.043648;102.742109,25.043593;102.742202,25.043505;102.742238,25.043464;102.742287,25.043407;102.742599,25.043049",[],"['0VBAD07KIJ00VBAB07KI700', '0VB9S07KI600VBAB07KI700', '0VBAD07KIN00VBAB07KI700', '0VBAB07KI400VBAB07KI700', '0VBB307KHV00VBAB07KI700']"
0VB5O07KJF00VB5O07KJ400,44000,,0VB5O07KJ40,"102.725587,25.048031;102.725576,25.047708;102.725565,25.047347;102.725543,25.046963;102.725539,25.046906;102.725537,25.046855","['0VB5O07KJ400VB5707KJ400', '0VB5O07KJ400VB5N07KHV00', '0VB5O07KJ400VB6T07KJ600', '0VB5O07KJ400VB6B07KK400']",[]
0VBAP07KFU00VBBD07KFJ00,44000,0VBAP07KFU0,,"102.741703,25.036553;102.741934,25.036422;102.742281,25.036281;102.742457,25.03619;102.743008,25.035936;102.743444,25.035702;102.743843,25.035482",[],"['0VBA107KGF00VBAP07KFU00', '0VBAN07KFS00VBAP07KFU00', '0VBAM07KFT00VBAP07KFU00']"
0VB4P07KGF00VB4Q07KGE00,45000,,0VB4Q07KGE0,"102.722551,25.038334;102.722562,25.03823","['0VB4Q07KGE00VB4P07KGF00', '0VB4Q07KGE00VB4Q07KGG00', '0VB4Q07KGE00VB4J07KGE00']",[]
0VB6H07KI110VB7807KI400,44000,0VB6H07KI11,0VB7807KI40,"102.728138,25.04335;102.728162,25.043352;102.728941,25.043433;102.72996,25.043544;102.730412,25.043594","['0VB7807KI400VB7J07KI500', '0VB7807KI400VB7807KI100']",['0VB6D07KI100VB6H07KI110']
